id,name,desc,pngname,addPro,attr,exp,getway1,getway2,getway3,getway4,getway5
0001,未知素材,别问我这是什么，我也不知道……,11400001_png,5,0,81,1,2,3,4,5
0002,大沙,经过海浪千年的冲刷，尸骨被打磨成了璀璨的细沙。 ,11400002_png,2,0,20,1,2,3,4,5
0003,贝壳,优秀的魔法载体，因为廉价在在法师之间颇为流行。 ,11400003_png,2,0,24,1,2,3,4,5
0004,大肉,一块优质的兽肉常常意味着一场关乎性命的危险战斗。 ,11400004_png,3,0,28,1,2,3,4,5
0005,凌晨露水,绿晶石上的晶莹晨露，洋溢着大地与生命的原始气息。 ,11400005_png,8,0,56,1,2,3,4,5
0006,黑曜石,把魔力禁锢于外壳中，是用于构筑魔法石的常用材料。 ,11400006_png,5,0,36,1,2,3,4,5
0007,兽骨棒,工具也是一种材料，骨头代表着死亡，死亡意味着的开端。 ,11400007_png,3,0,40,1,2,3,4,5
0008,茶枝草,常见的草料，因清香的味道而在民间广为流行。 ,11400008_png,2,0,44,1,2,3,4,5
0009,魂珠,魔物死去后的结晶，封印着主人生前使用的魔法属性。 ,11400009_png,10,0,48,1,2,3,4,5
0010,小香菇,生命力极强的小香菇在发霉的仓库中随处可见。 ,11400010_png,2,0,52,1,2,3,4,5
0011,石碎片,经过风沙打磨的锋利石片，传说寄宿着砂石的灵力。 ,11400011_png,7,0,56,1,2,3,4,5
0012,普通兽皮,对魔法合成疯狂的追求让许多野兽逐渐绝迹。 ,11400012_png,4,0,60,1,2,3,4,5
0013,普通兽蛋,寄宿着生命原力，被牺牲后只剩下了不经世事的灵魂。 ,11400013_png,6,0,65,1,2,3,4,5
0014,翠石粉,昂贵的粉末让法师望而却步，但其销量却在逐年增长。 ,11400014_png,2,0,40,1,2,3,4,5
0015,幻石粉,幻术魔法的关键素材，是众多幻术师沉迷致死的元凶。 ,11400015_png,2,0,40,1,2,3,4,5
0016,蜗壳,水元素的代表，有人能通过它听到来自于地狱的召唤。 ,11400016_png,2,0,48,1,2,3,4,5
0017,鸟兽的腿肉,“美味”的魔法元素，每一份鸟兽腿肉都来之不易。 ,11400017_png,3,0,56,1,2,3,4,5
0018,青苔石盘碎片,某些青苔石盘记录着失传的魔法，许多法师对其趋之若鹜。 ,11400018_png,7,0,73,1,2,3,4,5
0019,深海螺壳,沉睡于深海的螺壳让人发狂，里面除了“虚空”一无所有。 ,11400019_png,3,0,73,1,2,3,4,5
0020,鸟兽大块肉,没人记得清鸟兽的来源。高阶法师也对那场事故三缄其口。 ,11400020_png,3,0,81,1,2,3,4,5
0021,瘴毒凝汁,树妖每三十年分泌一次。采集的人大多死于非命。   ,11400021_png,8,0,56,1,2,3,4,5
0022,幻海水,幻海可遇不可求，活下来的人才有机会带出一瓶。   ,11400022_png,8,0,56,1,2,3,4,5
0023,熔铁浓浆,法师除外，多数人在打开瓶子的瞬间就被烧焦了。   ,11400023_png,8,0,56,1,2,3,4,5
0024,金矿原石,原始金矿比提炼后的金块更加昂贵，一切源于魔石的合成。 ,11400024_png,5,0,36,1,2,3,4,5
0025,碳石晶,经过魔法火焰炙烤而合成。因剔除了杂质而显得晶莹剔透。 ,11400025_png,5,0,40,1,2,3,4,5
0026,楔石盘碎片,古人用于占星的楔石盘具因寄宿这命运之力而让人恐惧。 ,11400026_png,7,0,56,1,2,3,4,5
0027,浮血菌,生长于战场，以哀嚎声和血液为食，长势好反而令人恐惧。 ,11400027_png,2,0,65,1,2,3,4,5
0028,寒凝菌,食用后让人体温骤降，可取人性命。是一种危险的菇类。 ,11400028_png,2,0,65,1,2,3,4,5
0029,巨叶山草菌,它的价值并不及药用，如何使用对法师来说也是一种考验。 ,11400029_png,3,0,81,1,2,3,4,5
0030,聚脂黏菌,它的使用要追溯到15年前，一位高阶法师被抬上了绞刑架。 ,11400030_png,5,0,89,1,2,3,4,5
0031,海魂珠,水晶包裹着海妖的灵魂，它们绝迹的原因早已消逝在风中。 ,11400031_png,10,0,98,1,2,3,4,5
0032,灼燃珠,水晶包裹着炎魔的灵魂，它们绝迹的原因早已消逝在风中。 ,11400032_png,10,0,98,1,2,3,4,5
0033,紫荆草枝,死去树妖的一部分，每一根毒刺都涂满了毒药。  ,11400033_png,2,0,48,1,2,3,4,5
0034,夜莺草枝,幻海发生地会长出夜莺草，是罕见的幻之植物。  ,11400034_png,2,0,48,1,2,3,4,5
0035,花红兽蛋,被加工成红色的兽蛋，难道是某种食物。,11400035_png,6,0,81,1,2,3,4,5
0036,草绿兽蛋,被加工成绿色的兽蛋，难道是某种食物。,11400036_png,6,0,81,1,2,3,4,5
0037,魅色皮草,寄宿着炎之力的皮毛让狐妖与法师处于对立关系。 ,11400037_png,4,0,73,1,2,3,4,5
0038,青绿皮草,寄宿着大地之力的皮毛让草原熊与法师处于对立关系。 ,11400038_png,4,0,73,1,2,3,4,5
